Date,Open,High,Low,Close,Volume,Currency
2007-03-13,22.0,22.0,21.5,21.5,200,USD
2007-03-14,21.0,21.0,21.0,21.0,100,USD
2007-03-15,20.5,20.5,20.0,20.0,1100,USD
2007-03-16,20.5,20.5,20.0,20.25,800,USD
2007-03-19,20.25,20.25,20.25,20.25,100,USD
2007-03-20,20.25,24.25,20.25,24.2,3800,USD
2007-03-21,24.0,26.0,24.0,25.0,1500,USD
2007-03-22,25.0,25.0,24.5,25.0,900,USD
2007-03-23,25.03,25.03,25.03,25.03,200,USD
2007-03-26,25.0,25.48,25.0,25.48,500,USD
2007-03-27,26.0,31.0,26.0,31.0,5500,USD
2007-03-28,29.75,31.0,29.0,31.0,2300,USD
2007-03-29,30.23,33.5,30.23,30.9,3700,USD
2007-03-30,31.1,32.05,31.1,31.32,1800,USD
2007-04-03,31.05,31.08,29.35,29.59,3400,USD
2007-04-04,29.21,29.21,29.21,29.21,100,USD
2007-04-05,29.3,29.3,28.38,28.38,1200,USD
2007-04-09,29.0,29.0,28.02,28.02,900,USD
2007-04-10,28.02,28.02,27.0,27.0,1200,USD
2007-04-11,27.25,27.31,26.61,26.61,1400,USD
2007-04-12,27.0,28.47,26.75,28.47,1700,USD
2007-04-13,28.6,29.3,28.6,29.25,3200,USD
2007-04-16,29.0,29.4,28.26,29.0,2200,USD
2007-04-17,29.0,29.5,29.0,29.5,300,USD
2007-04-18,29.9,30.0,29.59,29.59,2200,USD
2007-04-19,29.79,29.8,29.65,29.7,1300,USD
2007-04-20,29.7,29.7,28.25,28.51,1600,USD
2007-04-24,28.0,28.0,26.79,26.79,900,USD
2007-04-25,27.14,27.75,27.14,27.5,600,USD
2007-04-26,27.5,27.5,26.5,27.0,1300,USD
2007-04-27,26.5,26.5,26.1,26.1,200,USD
2007-04-30,26.5,27.0,26.5,26.98,700,USD
2007-05-01,26.5,26.5,25.51,25.51,400,USD
2007-05-03,25.6,25.6,25.1,25.1,200,USD
2007-05-07,25.6,26.2,25.6,26.2,600,USD
2007-05-08,26.25,26.8,26.25,26.8,1400,USD
2007-05-09,27.04,28.8,27.0,28.5,2900,USD
2007-05-10,28.7,29.9,28.7,29.9,1400,USD
2007-05-11,29.0,29.6,28.15,29.15,1400,USD
2007-05-14,29.0,29.0,26.51,26.51,2400,USD
2007-05-15,27.99,31.55,27.49,31.4,9500,USD
2007-05-16,31.1,31.1,29.08,29.08,1800,USD
2007-05-17,28.58,28.58,26.21,27.6,4200,USD
2007-05-18,28.1,28.1,27.1,27.6,700,USD
2007-05-21,28.1,30.0,27.76,27.76,4000,USD
2007-05-23,27.26,27.76,26.75,27.25,2000,USD
2007-05-24,27.01,27.51,27.01,27.49,700,USD
2007-05-25,27.98,27.99,27.64,27.99,400,USD
2007-05-29,27.49,27.99,25.99,25.99,3600,USD
2007-05-30,26.2,26.2,26.0,26.0,2300,USD
2007-05-31,25.5,25.51,25.13,25.13,900,USD
2007-06-01,25.65,25.67,25.17,25.18,1100,USD
2007-06-05,24.68,24.68,23.02,23.2,3800,USD
2007-06-06,23.0,23.0,22.99,23.0,800,USD
2007-06-11,23.0,23.4,22.16,22.16,2500,USD
2007-06-12,21.66,24.44,20.5,22.47,13100,USD
2007-06-13,22.22,22.27,21.72,21.9,6300,USD
2007-06-14,21.9,21.9,19.86,21.02,6200,USD
2007-06-15,21.03,21.03,20.01,20.01,2800,USD
2007-06-18,18.55,21.84,18.55,19.5,30700,USD
2007-06-19,19.5,20.75,19.5,20.6,20300,USD
2007-06-20,20.6,27.2,20.6,27.11,25100,USD
2007-06-21,27.39,31.5,26.62,28.05,32800,USD
2007-06-22,28.5,28.5,23.5,27.65,1509200,USD
2007-06-25,27.46,27.65,24.2,26.43,34600,USD
2007-06-26,26.62,28.12,22.3,25.65,45300,USD
2007-06-27,25.0,28.0,24.01,27.15,70100,USD
2007-06-28,27.48,31.01,26.75,30.1,24700,USD
2007-06-29,30.12,30.12,26.47,26.99,28000,USD
