Date,Open,High,Low,Close,Volume,Currency
2017-04-24,48900.0,49500.0,48000.0,48400.0,1757390,VND
2017-04-25,48100.0,48400.0,45050.0,45150.0,2533550,VND
2017-04-26,43100.0,44500.0,43100.0,44100.0,1743790,VND
2017-04-27,44100.0,45900.0,44100.0,45900.0,825430,VND
2017-04-28,46100.0,47000.0,46100.0,46650.0,781910,VND
2017-05-03,46650.0,46800.0,46000.0,46750.0,521490,VND
2017-05-04,46750.0,47500.0,46700.0,47500.0,2947740,VND
2017-05-05,47100.0,47500.0,47000.0,47100.0,1274310,VND
2017-05-08,47000.0,47500.0,46600.0,47500.0,1414880,VND
2017-05-09,47500.0,47500.0,46900.0,46900.0,864620,VND
2017-05-10,46900.0,47400.0,46900.0,47100.0,2706150,VND
2017-05-11,47100.0,49700.0,47100.0,48600.0,3351200,VND
2017-05-12,48600.0,48900.0,48400.0,48600.0,1272460,VND
2017-05-15,48250.0,49200.0,48000.0,48700.0,2429190,VND
2017-05-16,49100.0,52000.0,48700.0,51100.0,3627190,VND
2017-05-17,51000.0,52000.0,50500.0,51000.0,1642560,VND
2017-05-18,50800.0,53000.0,50800.0,53000.0,3077950,VND
2017-05-19,53800.0,56700.0,53300.0,56700.0,4369030,VND
2017-05-22,59800.0,60600.0,59000.0,60600.0,3062670,VND
2017-05-23,61000.0,64500.0,60600.0,60600.0,2839240,VND
2017-05-24,60600.0,60700.0,57500.0,59000.0,1789900,VND
2017-05-25,59000.0,60100.0,58600.0,59000.0,684100,VND
2017-05-26,58200.0,58900.0,57600.0,58100.0,1237030,VND
2017-05-29,58000.0,60500.0,58000.0,60100.0,967250,VND
2017-05-30,60100.0,62100.0,60100.0,61000.0,1067000,VND
2017-05-31,61500.0,61700.0,60400.0,61200.0,714650,VND
2017-06-01,61200.0,61800.0,61200.0,61200.0,522880,VND
2017-06-02,60700.0,61200.0,59700.0,59700.0,1244790,VND
2017-06-05,59700.0,61800.0,59200.0,61100.0,665100,VND
2017-06-06,61100.0,61500.0,60800.0,61500.0,554760,VND
2017-06-07,61400.0,61800.0,61000.0,61100.0,626820,VND
2017-06-08,61100.0,61300.0,60800.0,61100.0,325680,VND
2017-06-09,61000.0,63400.0,61000.0,62600.0,1104760,VND
2017-06-12,62600.0,64500.0,62300.0,63000.0,830860,VND
2017-06-13,63200.0,63700.0,62700.0,63000.0,422580,VND
2017-06-14,62800.0,63000.0,61900.0,63000.0,848170,VND
2017-06-15,62500.0,63300.0,62100.0,62800.0,546160,VND
2017-06-16,62400.0,63000.0,62300.0,62400.0,369590,VND
2017-06-19,62300.0,63800.0,62300.0,63800.0,797760,VND
2017-06-20,64000.0,65400.0,63900.0,65400.0,1506260,VND
2017-06-21,65500.0,67000.0,64400.0,66900.0,980190,VND
2017-06-22,67600.0,69800.0,67500.0,69500.0,1121960,VND
2017-06-23,69700.0,72000.0,69600.0,71400.0,1825360,VND
2017-06-26,72000.0,73300.0,71200.0,71800.0,1137940,VND
2017-06-27,71300.0,71600.0,68800.0,68800.0,1547410,VND
2017-06-28,68400.0,69700.0,67300.0,68600.0,1212630,VND
2017-06-29,68800.0,70200.0,67900.0,69500.0,980940,VND
2017-06-30,69900.0,70100.0,69000.0,69000.0,846590,VND
2017-07-03,69000.0,69600.0,68500.0,68900.0,1235890,VND
2017-07-04,68500.0,68600.0,67200.0,67700.0,983220,VND
2017-07-05,67600.0,69400.0,67300.0,68800.0,493040,VND
2017-07-06,68500.0,71200.0,68000.0,71000.0,1697930,VND
2017-07-07,70700.0,71000.0,69400.0,69500.0,1345800,VND
2017-07-10,68500.0,69400.0,68200.0,68800.0,1149130,VND
2017-07-11,68800.0,68800.0,68000.0,68800.0,669300,VND
2017-07-12,69800.0,69800.0,68800.0,68800.0,905250,VND
2017-07-13,69000.0,70200.0,69000.0,70200.0,1069020,VND
2017-07-14,70800.0,71000.0,70000.0,70000.0,766980,VND
2017-07-17,70000.0,70400.0,68600.0,68700.0,613290,VND
2017-07-18,68300.0,69200.0,68200.0,68900.0,796070,VND
2017-07-19,68800.0,69900.0,68800.0,69300.0,998340,VND
2017-07-20,66700.0,66900.0,65300.0,65500.0,583230,VND
2017-07-21,65500.0,66000.0,65300.0,65500.0,615940,VND
2017-07-24,64500.0,65500.0,63000.0,63000.0,1064220,VND
2017-07-25,62000.0,65000.0,61000.0,64900.0,1548220,VND
2017-07-26,65200.0,65200.0,64300.0,64600.0,328670,VND
2017-07-27,64100.0,64100.0,62800.0,62800.0,883020,VND
2017-07-28,62700.0,64200.0,62100.0,64200.0,505210,VND
2017-07-31,64000.0,64000.0,62800.0,62800.0,291180,VND
2017-08-01,62200.0,63700.0,62200.0,63000.0,420960,VND
2017-08-02,62800.0,63500.0,62100.0,63200.0,347480,VND
2017-08-03,63000.0,63200.0,62700.0,63000.0,331860,VND
2017-08-04,62800.0,63900.0,62700.0,63600.0,515090,VND
2017-08-07,63600.0,66800.0,63500.0,66800.0,1648590,VND
2017-08-08,66800.0,69000.0,66800.0,67500.0,1347990,VND
2017-08-09,67500.0,68000.0,65500.0,65800.0,699190,VND
2017-08-10,65000.0,66000.0,64800.0,65200.0,283290,VND
2017-08-11,65000.0,65900.0,64200.0,64500.0,186140,VND
2017-08-14,64500.0,66200.0,64200.0,66000.0,264910,VND
2017-08-15,66300.0,66300.0,65500.0,66300.0,269720,VND
2017-08-16,66300.0,66700.0,65500.0,66100.0,578890,VND
2017-08-17,66100.0,66300.0,65800.0,65800.0,202030,VND
2017-08-18,65800.0,66400.0,65700.0,66100.0,287630,VND
2017-08-21,67000.0,67900.0,66800.0,67300.0,1445250,VND
2017-08-22,67700.0,67800.0,66300.0,66700.0,211800,VND
2017-08-23,66300.0,66800.0,66200.0,66700.0,103940,VND
2017-08-24,66600.0,67800.0,66400.0,67600.0,865230,VND
2017-08-25,67600.0,68400.0,67300.0,67500.0,501000,VND
2017-08-28,67500.0,68500.0,67300.0,68300.0,939860,VND
2017-08-29,68100.0,68700.0,67800.0,68000.0,544800,VND
2017-08-30,67700.0,68000.0,67000.0,67000.0,357560,VND
2017-08-31,67000.0,67700.0,66600.0,66800.0,403980,VND
2017-09-01,66800.0,67100.0,66200.0,66800.0,237100,VND
2017-09-05,67500.0,67900.0,66900.0,67000.0,807400,VND
2017-09-06,67000.0,67300.0,66500.0,67000.0,525730,VND
2017-09-07,67000.0,67300.0,66800.0,66800.0,580970,VND
